A                PRECIPITACION (MM)
A                CUENCA: SONDOR (Formato para extender datos)
A
B       1988            1            1       27           0           0            1           0           0           0
C
H1022011    7964    4591    2862  10251    2272         1    353         2  1826    5921    4820  9092
H1022012  10200  10690    6021    9642      473        23         0         2         3    3640    6495  3215
H1022013    1791    3990    4471           0  11560         0    641         0    650    2770    1280  2730
H1022014           0      210    4010    3400    1290    520         0        -1        -1          -1          -1        -1
H1031963          -1          -1          -1          -1        -1          -1        -1        -1  2200    5100  12800  11300
H1031964    3000    4200    4800  12100  2700    2100  2100  2700  1800    5000    9100    5500
H1031965    2800    7600    8900  12800  9500    2000  1900    500  2800    7100  10800    4800
H1031966    6900    1300  10050    4600  3600    2600         0  1600    700    1600    5300    1500
H1031967    3500  13900    9130    4450  2300    1700  2000  2900    602    5450           0    3700
H1031968    2900           0    5900    1200         0           0  1300    700  3950    7900    2300    1200
H1031969    9500    4900           0    6600    300    3200         0    600  3400    4800    8700  10400
H1031970    6800    6400  12500    6300  6601    3500    400    600  2300  10200    5500    5400
H1031971    6900  11600  27000  12900  6600    3650  1000    700  3400    7800    5100    3300
H1031972    9800    4400  22600    6000  4900      900  1400    800  2600    1900    4400    5400
H1031973    7200  14700    1900  13300  2200    1500  1800  1700  2500           0    3300    3900
H1031974    9300    7100    8700    2400  1100      400  2300    600  2800    6100    4300    2406
H1031975    3701  13800  21400  10000  5200  11300  8600  2000  1200    9400    6000           0
H1031976    7550    5303    4610    6500  6110    1585  1353        57        47      309      176    1078
H1031977    5437    5207    3411  10632    405    2104    401    106  3401    3601    1205    1800
H1031978      800    3803    3700    4903  2003    1404  1203    206    607      704    2707    2109
H1031979    5605    4103  14603    4404  1802      405         3  1405  3204      401    2304    1401
H1031980      801    3502    6105    5103  1605           4         5    400         3    7503    3904    6701
H1031981      801    7104  15603    8103  1506      902         6         3    700    3004    3401    3104
H1031982    2701    8602    2905  11201  4201           2         4         0  2201    2200    2200           0
H1031983    4300  12100  21400  14600  8800           0         0         0         0  11800    6100    4800
H1031984      800  29700  13600  14700  5500    5600  3800  1500  5200  13000    3900    1100
H1031985           0           0           0           0         0           0         0         0         0           0           0           0
H1031986           0           0           0           0         0           0         0         0         0           0           0           0
H1031987           0           0           0           0         0           0         0         0         0           0           0           0
H1031988           0           0    2770    5893  4638      433    353    735  6373    5771    6720    3779
